OTU ID	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	taxonomy
OTU66	0	0	0	0	96	169	0	0	0	69	0	134	26%|Ramicandelaber_sp_HMH_2010a|SH237136.06FUk_Fungi;p_Zygomycota;c_Incertae_sedis_10;o_Kickxellales;f_Kickxellaceae;g_Ramicandelaber
OTU67	93	66	54	0	0	0	159	165	137	5	13	20	100%|Orbiliaceae_sp|SH226643.06FUk_Fungi;p_Ascomycota;c_Orbiliomycetes;o_Orbiliales;f_Orbiliaceae;g_Orbiliaceae_unidentified
OTU68	38	21	15	51	160	46	0	0	4	51	26	38	78%|Phaeoacremonium_tuscanum|SH191574.06FUk_Fungi;p_Ascomycota;c_Sordariomycetes;o_Diaporthales;f_Togniniaceae;g_Phaeoacremonium
OTU69	0	0	0	0	0	0	0	444	0	0	0	0	57%|Tremellales_sp|SH195378.06FUk_Fungi;p_Basidiomycota;c_Tremellomycetes;o_Tremellales;f_Incertae_sedis_12;g_Incertae_sedis_12_unidentified
OTU70	0	0	0	0	0	1	0	0	0	289	0	407	5%|Ophiocordyceps_rubiginosiperitheciata|SH227646.06FUk_Fungi;p_Ascomycota;c_Sordariomycetes;o_Hypocreales;f_Ophiocordycipitaceae;g_Ophiocordyceps
OTU71	72	103	79	0	0	0	25	33	7	25	80	0	100%|Arthrographis_sp|SH225535.06FUk_Fungi;p_Ascomycota;c_Dothideomycetes;o_Incertae_sedis_8;f_Eremomycetaceae;g_Arthrographis
OTU72	103	145	215	1	0	0	187	164	188	8	0	10	100%|Ascomycota_sp|SH236513.06FUk_Fungi;p_Ascomycota;c_Ascomycota_unidentified;o_Ascomycota_unidentified_1;f_Ascomycota_unidentified_1;g_Ascomycota_unidentified_1_1
OTU73	3	0	0	539	2	425	0	0	0	1	1	7	21%|Fungi_sp|SH234328.06FUk_Fungi;p_Fungi_unidentified;c_Fungi_unidentified_1;o_Fungi_unidentified_1;f_Fungi_unidentified_1_1;g_Fungi_unidentified_1_1
OTU74	0	0	0	145	190	0	0	0	0	18	10	44	100%|Thermoascus_aurantiacus|SH213228.06FUk_Fungi;p_Ascomycota;c_Eurotiomycetes;o_Eurotiales;f_Thermoascaceae;g_Thermoascus
OTU75	21	6	16	0	0	0	21	24	5	143	104	85	13%|Lasiosphaeriaceae_sp|SH223698.06FUk_Fungi;p_Ascomycota;c_Sordariomycetes;o_Sordariales;f_Lasiosphaeriaceae;g_Lasiosphaeriaceae_unidentified
OTU76	14	12	10	0	3	0	87	43	78	100	33	27	31%|Synchytrium_endobioticum|SH234051.06FUk_Fungi;p_Chytridiomycota;c_Chytridiomycetes;o_Chytridiales;f_Synchytriaceae;g_Synchytrium
OTU77	19	30	13	106	61	291	3	2	1	146	181	191	39%|Penicillium_levitum|SH201029.06FUk_Fungi;p_Ascomycota;c_Eurotiomycetes;o_Eurotiales;f_Trichocomaceae;g_Penicillium
OTU78	24	39	178	0	0	0	22	125	36	6	6	1	3%|Sympoventuria_capensis|SH232275.06FUk_Fungi;p_Ascomycota;c_Dothideomycetes;o_Pleosporales;f_Venturiaceae_1;g_Sympoventuria
OTU79	34	35	26	0	0	0	38	77	74	22	14	63	96%|Trichocomaceae_sp|SH201031.06FUk_Fungi;p_Ascomycota;c_Eurotiomycetes;o_Eurotiales;f_Trichocomaceae;g_Trichocomaceae_unidentified
OTU80	0	3	0	1	97	0	3	0	0	135	18	146	28%|Stromatonectria_caraganae|SH227333.06FUk_Fungi;p_Ascomycota;c_Sordariomycetes;o_Hypocreales;f_Bionectriaceae;g_Stromatonectria
OTU81	45	100	254	0	0	0	44	86	29	4	2	26	93%|Fungi_sp|SH230936.06FUk_Fungi;p_Fungi_unidentified;c_Fungi_unidentified_1;o_Fungi_unidentified_1;f_Fungi_unidentified_1_1;g_Fungi_unidentified_1_1
